"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"Raw39",0.0145555531084321,-0.00930218065292212,-0.0104628988961703,0.0068219104814884,-0.0048283389998422,-0.00363860240659123,0.00453563123140881,0.0480809889830806,-0.0626131016571228,-0.0523466900922508,0.0208467439728324,-0.019339731357654,-0.00670961687764133,0.0235394567322855,-0.0158913622759734
"Raw40",-0.0109915740120509,0.046526136897059,-0.0690640211379087,0.0417461764656867,-0.0482229668024459,0.0268423072325218,-0.0300605404377339,-0.0214780587356111,0.0351324583395078,0.0391901948396583,-0.0615918297161195,0.00459963487155764,-0.0170387846057911,0.00860873614746013,-0.0167765446684181
"Raw41",0.0492657250294266,-0.049693730116652,0.0527413703040268,-0.00761337246746103,0.00187665475976681,0.00158359871506616,-0.00139975420041426,-0.0637843738790069,0.0159212044157243,0.0420161952545949,-0.00219208834013045,0.0088608601841451,-0.0313929393588037,0.0764038334113661,-0.072040035866041
"Raw42",-0.0160587027872826,0.021360795204604,-0.0381831218190596,-0.0354388274832086,0.0396430710512771,-0.0147012728748873,0.0137630580878492,0.0242638980519537,-0.0125908177351153,-0.0180303428584322,0.0170467740668457,0.02666812282319,-0.0235945789160376,-0.00369060143612751,0.00321780803519637
"Raw43",0.0573473778940596,0.0707511735089468,-0.0606720034748506,-0.0180838573692034,0.0251743291437971,-0.045956396242186,0.0443198914216713,-0.0181110417759416,-0.0185587425965031,-0.0550903484891003,0.057307335443202,0.0463001219132521,-0.0517477025864672,-0.0969290100463421,0.0938719331257305
"Raw44",0.0745106356679787,0.0107479452180301,0.0119014661927568,0.0452297771963244,-0.040753904919366,-0.0322051014753769,0.0331822168720714,0.0741586569402727,-0.101093845936152,-0.065016140483388,0.0499577400019053,0.0669771750548166,-0.0635657037415777,-0.0457555988068861,0.043441465352129
"Raw45",0.0350327251209984,0.0212746785890337,-0.00743001452067434,0.0185712124248877,-0.0185632272476025,-0.0338097745722671,0.0362140360408603,0.0192650483118662,-0.0196213574921414,-0.00398942598112305,-0.00256040441988068,-0.00123673695693279,-0.0383552465861731,0.0454393162119567,-0.0242224854257615
"Raw46",0.0604757951772284,0.0394918451356251,-0.0302391285179077,0.0278527550887205,-0.0127298746939593,0.0445447809653517,-0.0433019418101027,-0.0613637386654469,0.0942784424073526,-0.0831458704649145,0.0708170817355323,0.00408568422568601,-0.0328359526044014,0.0736194059674685,-0.0576473937168826
"Raw47",0.100787578368633,0.0983699983277507,-0.0737104624222367,-0.0527901350402104,0.0541991574217257,-7.90067809282866e-05,-0.000448477689201871,0.0363911524881443,-0.0453131801141199,0.00124941382552141,-0.0051164402282879,-0.0587824641662467,0.0272006864397034,0.0660384015206643,-0.0482687861312867
"Raw48",0.0485687190743346,-0.0594242782226659,0.0571575645654659,-0.0195458080209532,0.0141293853038109,0.03833968839594,-0.0274019153877552,0.0255813703266878,-0.0328622458913221,-0.0133575118151662,-0.0269131961942934,-0.0232706852748956,0.0310905208101993,-0.0378152062494655,0.0954368927970823
"Raw49",0.0562114040545782,0.0166666341759079,-0.0096596461206495,-0.0040869802825351,0.00927586364909314,0.024861811137282,-0.0204052501453225,-0.039537974073845,0.0689474002953493,-0.0316721233110986,0.0059909299669863,0.0859916673162202,-0.0426199585796278,-0.0520969603200088,0.0693008661107364
